index,bruises,cap_color,cap_shape,cap_surface,class,gill_attachment,gill_color,gill_size,gill_spacing,habitat,odor,population,ring_number,ring_type,spore_print_color,stalk_color_above_ring,stalk_color_below_ring,stalk_root,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,veil_color,veil_type
2175,t,e,x,y,e,f,n,b,c,d,n,y,o,p,n,w,g,b,t,s,s,w,p
5671,t,b,x,s,p,f,h,b,c,g,f,v,o,p,h,w,w,b,t,f,f,w,p
1181,t,n,x,y,e,f,p,b,c,p,l,y,o,p,k,w,w,r,e,s,y,w,p
2092,f,w,x,s,e,f,k,b,w,g,n,a,o,e,n,w,w,e,t,s,f,w,p
2632,t,n,f,f,e,f,w,b,c,d,n,v,o,p,n,g,w,b,t,s,s,w,p
1376,t,n,f,s,p,f,p,n,c,g,p,v,o,p,k,w,w,e,e,s,s,w,p
1391,t,g,x,f,e,f,w,b,c,d,n,y,o,p,k,g,w,b,t,s,s,w,p
4304,f,g,f,f,p,f,g,b,c,d,f,y,o,l,h,p,n,b,e,k,k,w,p
3460,t,n,f,y,e,f,w,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w,p
4678,f,y,f,f,p,f,g,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w,p
1931,t,w,f,y,p,f,w,n,c,u,p,s,o,p,k,w,w,e,e,s,s,w,p
1254,t,w,f,y,p,f,p,n,c,g,p,v,o,p,n,w,w,e,e,s,s,w,p
4443,f,y,x,y,p,f,p,b,c,p,f,y,o,l,h,p,b,b,e,k,k,w,p
3971,f,g,x,y,p,f,g,b,c,p,f,v,o,l,h,b,n,b,e,k,k,w,p
3599,t,n,f,y,e,f,n,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
4852,f,g,x,y,p,f,p,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w,p
7947,t,c,x,y,e,f,w,b,c,p,n,v,t,p,w,w,w,b,e,s,s,w,p
5408,t,b,x,s,p,f,w,b,c,g,f,s,o,p,h,w,w,b,t,s,f,w,p
645,t,y,f,y,e,f,n,b,c,p,l,s,o,p,k,w,w,r,e,s,y,w,p
4268,f,g,f,f,p,f,g,b,c,g,f,v,o,l,h,p,n,b,e,k,k,w,p
1937,t,w,f,s,e,f,n,n,w,d,l,v,o,p,u,w,w,b,t,s,s,w,p
3740,f,g,x,f,p,f,p,n,w,d,c,v,o,p,k,w,w,b,e,s,s,w,p
4784,t,e,f,f,e,f,p,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w,p
5130,t,b,x,s,p,f,p,b,c,g,f,v,o,p,h,w,w,b,t,s,s,w,p
2514,t,n,f,f,e,f,u,b,c,d,n,y,o,p,k,p,p,b,t,s,s,w,p
3892,t,g,f,y,e,f,n,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w,p
3015,t,e,x,f,e,f,u,b,c,d,n,y,o,p,n,p,g,b,t,s,s,w,p
3643,t,e,f,y,e,f,u,b,c,d,n,y,o,p,k,w,g,b,t,s,s,w,p
3249,f,g,x,f,p,f,g,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w,p
2168,t,g,x,f,e,f,p,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
2043,f,n,x,f,e,f,k,b,w,g,n,s,o,e,n,w,w,e,t,f,f,w,p
693,t,n,x,y,e,f,p,b,c,p,a,s,o,p,n,w,w,r,e,s,y,w,p
44,t,w,x,y,p,f,p,n,c,g,p,v,o,p,n,w,w,e,e,s,s,w,p
2800,t,e,x,f,e,f,n,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w,p
3509,f,g,x,f,p,f,g,b,c,d,f,y,o,l,h,b,n,b,e,k,k,w,p
4609,f,y,x,y,p,f,h,b,c,d,f,v,o,l,h,b,b,b,e,k,k,w,p
4475,f,y,f,y,p,f,h,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w,p
4337,f,y,x,f,p,f,p,b,c,d,f,v,o,l,h,p,p,b,e,k,k,w,p
85,t,y,x,y,e,f,w,b,c,g,l,s,o,p,k,w,w,r,e,s,y,w,p
3586,t,g,f,y,e,f,w,b,c,d,n,v,o,p,k,w,g,b,t,s,s,w,p
1134,f,w,f,s,e,f,k,b,w,g,n,s,o,e,n,w,w,e,t,f,f,w,p
2258,t,g,x,f,e,f,w,b,c,d,n,v,o,p,n,p,g,b,t,s,s,w,p
4192,f,g,f,f,p,f,g,b,c,p,f,v,o,l,h,n,p,b,e,k,k,w,p
937,t,y,x,y,e,f,w,b,c,m,a,n,o,p,k,w,w,c,e,s,s,w,p
1742,f,n,f,f,e,f,h,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
5079,f,y,f,f,p,f,h,b,c,d,f,y,o,l,h,b,p,b,e,k,k,w,p
3736,t,e,f,y,e,f,w,b,c,d,n,y,o,p,n,p,p,b,t,s,s,w,p
57,f,g,f,f,e,f,n,b,w,g,n,a,o,e,n,w,w,e,t,s,s,w,p
2163,t,g,f,f,e,f,p,b,c,d,n,v,o,p,k,g,p,b,t,s,s,w,p
5807,t,b,f,s,p,f,h,b,c,u,f,v,o,p,h,w,w,b,t,f,f,w,p
297,t,y,x,s,e,f,k,b,c,m,a,s,o,p,k,w,w,c,e,s,s,w,p
4834,f,y,f,f,p,f,g,b,c,p,f,v,o,l,h,p,n,b,e,k,k,w,p
3480,f,g,x,f,p,f,h,b,c,p,f,v,o,l,h,p,p,b,e,k,k,w,p
4496,f,y,f,f,p,f,h,b,c,p,f,y,o,l,h,p,b,b,e,k,k,w,p
3324,f,g,x,f,p,f,p,b,c,d,f,v,o,l,h,n,n,b,e,k,k,w,p
3607,f,g,x,f,p,f,p,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w,p
1607,f,g,f,s,e,f,k,b,w,g,n,a,o,e,k,w,w,e,t,s,s,w,p
3434,t,g,f,y,e,f,w,b,c,d,n,y,o,p,k,p,w,b,t,s,s,w,p
656,t,y,x,s,e,f,g,b,c,g,l,s,o,p,n,w,w,c,e,s,s,w,p
99,t,w,b,s,e,f,g,b,c,g,a,s,o,p,n,w,w,c,e,s,s,w,p
3909,f,y,f,f,p,f,h,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w,p
3587,t,e,x,f,e,f,p,b,c,d,n,y,o,p,k,p,g,b,t,s,s,w,p
2990,t,n,f,f,e,f,p,b,c,d,n,v,o,p,k,w,w,b,t,s,s,w,p
984,f,n,x,f,e,f,k,b,w,g,n,s,o,e,n,w,w,e,t,s,s,w,p
849,t,y,b,s,e,f,k,b,c,m,l,n,o,p,n,w,w,c,e,s,s,w,p
4459,f,y,x,y,p,f,h,b,c,g,f,y,o,l,h,b,n,b,e,k,k,w,p
453,t,y,b,s,e,f,g,b,c,m,l,n,o,p,k,w,w,c,e,s,s,w,p
4385,f,y,x,y,p,f,p,b,c,g,f,y,o,l,h,n,n,b,e,k,k,w,p
957,t,w,x,s,p,f,w,n,c,u,p,v,o,p,k,w,w,e,e,s,s,w,p
